City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yinchuan,38.4681,106.2731,15.5,30,65,1.42,CN,1697212700
83,arteche,12.2645,125.4048,25.23,91,61,1.5,PH,1697212700
84,vilyuchinsk,52.9306,158.4028,3.85,84,92,3.01,RU,1697212700
85,hedemora,60.2797,15.9886,8.83,79,100,1.79,SE,1697212700
86,port elizabeth,-33.918,25.5701,15.16,97,100,4.63,ZA,1697212701
87,lazaro cardenas,17.9583,-102.2,27.63,76,17,0.84,MX,1697212701
88,yellowknife,62.456,-114.3525,8.01,100,100,5.14,CA,1697212502
89,bethel,41.3712,-73.414,15.11,60,0,4.12,US,1697212701
90,san antonio de pale,-1.4014,5.6325,25.94,80,96,3.65,GQ,1697212701
91,at taj,24.2049,23.2857,28.88,22,15,4.42,LY,1697212701
92,pont rouge,48.8833,-72.0825,12.16,82,100,4.3,CA,1697212702
93,mabama,-5.1333,32.5333,27.48,40,81,1.36,TZ,1697212702
94,mandiana,10.6333,-8.6833,30.27,63,81,1.14,GN,1697212702
95,ushuaia,-54.8,-68.3,10.79,77,75,15.43,AR,1697212655
96,aktau,43.65,51.2,14.32,47,100,5.93,KZ,1697212702
97,isafjordur,66.0755,-23.124,0.02,64,75,1.54,IS,1697212702
98,albany,42.6001,-73.9662,13.86,58,4,0.89,US,1697212702
99,tuburan,6.6439,122.2736,26.05,75,100,2.9,PH,1697212702
100,colesberg,-30.72,25.0972,17.15,29,1,7.62,ZA,1697212703
101,klaksvik,62.2266,-6.589,5.51,96,100,24.43,FO,1697212703
102,grand falls-windsor,48.9332,-55.6649,11.39,96,100,0.45,CA,1697212627
103,krasnozerskoye,53.9828,79.2374,6.67,38,15,5.99,RU,1697212703
104,mount gambier,-37.8333,140.7667,12.38,77,100,5.71,AU,1697212703
105,kununurra,-15.7667,128.7333,24.99,69,90,1.54,AU,1697212703
106,georgetown,5.4112,100.3354,28.96,89,40,3.13,MY,1697212622
107,greenville,35.6127,-77.3663,22.86,62,0,3.09,US,1697212168
108,tarija,-21.5355,-64.7296,14.95,58,100,2.06,BO,1697212704
109,lebu,-37.6167,-73.65,11.98,68,98,8.35,CL,1697212704
110,clewiston,26.7542,-80.9337,31.31,67,100,5.38,US,1697212474
111,kiunga,-6.1219,141.2906,23.36,99,100,1.12,PG,1697212704
112,otse,-25.0167,25.7333,26.59,7,0,4.8,BW,1697212704
113,mionica,44.8672,18.4631,23.38,46,89,1.53,BA,1697212704
114,susuman,62.7833,148.1667,-12.23,84,100,0.89,RU,1697212704
115,sainte-anne-des-monts,49.124,-66.4924,8.93,100,100,1.03,CA,1697212704
116,val-d'or,48.1002,-77.7828,7.05,93,100,4.12,CA,1697212704
117,ingeniero jacobacci,-41.3427,-69.5448,15.48,28,2,5.17,AR,1697212705
118,longyearbyen,78.2186,15.6401,0.91,80,75,4.12,SJ,1697212564
119,tazovsky,67.4667,78.7,0.56,81,100,7.0,RU,1697212705
120,utrik,11.2278,169.8474,28.18,79,30,5.78,MH,1697212705
121,heinola,61.2056,26.0381,7.22,91,100,2.38,FI,1697212705
122,borgarnes,64.5383,-21.9206,2.03,59,61,6.0,IS,1697212705
123,hithadhoo,-0.6,73.0833,27.49,78,43,4.56,MV,1697212705
124,gundlupet,11.8,76.6833,21.94,72,94,1.82,IN,1697212706
125,turpan,42.9333,89.1667,22.31,21,1,0.59,CN,1697212706
126,duminichi,53.9345,35.1099,9.68,82,6,2.38,RU,1697212706
127,kalmunai,7.4167,81.8167,25.7,86,82,4.98,LK,1697212706
128,bandon,51.7469,-8.7425,12.77,67,4,7.5,IE,1697212706
129,new norfolk,-42.7826,147.0587,10.72,91,100,4.57,AU,1697212548
130,ust-nera,64.5667,143.2,-12.1,95,100,2.24,RU,1697212706
131,vadso,70.0744,29.7487,1.49,80,40,1.54,NO,1697212706
132,daru,-9.0763,143.2092,24.89,91,99,6.52,PG,1697212707
133,kidal,18.4411,1.4078,37.76,8,11,4.69,ML,1697212707
134,debark',13.1561,37.8981,13.11,73,86,0.68,ET,1697212707
135,lesogorsk,56.0458,99.5136,2.74,95,100,6.26,RU,1697212707
136,deniliquin,-35.5333,144.9667,13.34,71,97,3.21,AU,1697212707
137,argo,37.6333,22.7333,18.77,46,0,1.0,GR,1697212707
138,villa la angostura,-40.7617,-71.6463,13.08,56,25,1.83,AR,1697212708
139,tanumah,27.1,44.1333,30.45,11,0,3.82,SA,1697212708
140,ambo,-10.1308,-76.2047,25.29,40,33,4.02,PE,1697212708
